article_id,row_idx,row_text
11,0,"['About', '80', 'people', 'have', 'been', 'killed', 'during', 'inter-communal', 'clashes', 'in', 'the', 'west', 'of', 'the', 'Democratic', 'Republic', 'of', 'Congo', 'The']"
11,1,"['fighting', 'in', 'Mai-Ndombe', 'province', 'took', 'place', 'on', 'Wednesday', 'and', 'Thursday', 'Will', 'Ross', 'reports']"
11,2,"['The', 'clashes', 'were', 'fueled', 'by', 'a', 'long', 'running', 'land', 'dispute', 'Traditional', 'chiefs', 'from', 'the', 'Teke', 'community', 'see', 'themselves', 'as']"
11,3,"['the', 'rightful', 'owners', 'of', 'the', 'land', 'as', 'they', 'were', 'in', 'the', 'Mai-Ndombe', 'province', 'before', 'the', 'rival', 'Yaka', 'people', 'settled', 'there', 'This']"
11,4,"['week', 'a', 'decision', 'was', 'taken', 'to', 'increase', 'the', 'tax', 'to', 'be', 'paid', 'to', 'the', 'Teke', 'chiefs', 'a', 'move', 'that', 'angered', 'the', 'Yaka', 'community']"
11,5,"['and', 'led', 'to', 'fighting', 'in', 'three', 'areas', 'The', 'Congolese', 'military', 'intervened', 'to', 'end', 'the', 'violence', 'but', 'the', 'situation', 'remains']"
11,6,"['extremely', 'tense', 'In', 'recent', 'months', 'dozens', 'of', 'people', 'have', 'died', 'and', 'more', 'than', '20000', 'have', 'been', 'displaced', 'in', 'the', 'same']"
11,7,"['area', 'State-run', 'media', 'in', 'Syria', 'say', 'at', 'least', '86', 'people', 'are', 'now', 'known', 'to', 'have', 'drowned', 'when', 'a', 'migrant', 'boat', 'sank', 'on']"
11,8,"['Thursday', 'near', 'the', 'city', 'of', 'Tartus', 'Up', 'to', '150', 'people', 'were', 'thought', 'to', 'have', 'been', 'on', 'board', 'mainly', 'Syrian', 'Lebanese', 'and']"
11,9,['Palestinian']
11,10,"['The', 'boat', 'set', 'off', 'from', 'northern', 'Lebanon', 'on', 'Tuesday', 'The', 'country', 'has', 'been', 'suffering', 'a', 'severe', 'economic', 'crisis', 'since', '2019']"
11,11,"['The', 'British', 'government', 'has', 'continued', 'to', 'defend', 'its', 'handling', 'of', 'the', 'economy', 'after', 'the', 'pound', 'fell', 'to', 'its', 'lowest', 'level', 'for']"
11,12,"['several', 'decades', 'A', 'series', 'of', 'tax', 'cuts', 'were', 'announced', 'on', 'Friday', 'Share', 'prices', 'fail', 'after', 'the', 'announcement', 'but', 'the', ""UK's""]"
11,13,"['deputy', 'finance', 'minister', 'has', 'insisted', 'the', 'cuts', 'will', 'encourage', 'economic', 'growth', 'Chris', 'Philp', 'said', 'this', 'would', 'be', 'good', 'for', 'the']"
11,14,"['whole', 'country']"
