exp_id,page_id,fix_seq_id,row_idx,article_id,user,sentence_id,word,word_understand,sentence_understand,mind_wandering,reading_times,number_of_fixations,fixation_duration,fixation_duration_diff,number_of_fixations_diff,reading_times_diff,fixation_duration_mean,number_of_fixations_mean,reading_times_mean,fixation_duration_var,number_of_fixations_var,reading_times_var,fixation_duration_div_syllable,fixation_duration_div_length,backward_times_of_sentence,forward_times_of_sentence,horizontal_saccade_proportion,saccade_duration,saccade_times_of_sentence,saccade_velocity,total_dwell_time_of_sentence,backward_times_of_sentence_div_log,forward_times_of_sentence_div_log,horizontal_saccade_proportion_div_log,saccade_duration_div_log,saccade_times_of_sentence_div_log,saccade_velocity_div_log,total_dwell_time_of_sentence_div_log,backward_times_of_sentence_div_syllable,forward_times_of_sentence_div_syllable,horizontal_saccade_proportion_div_syllable,saccade_duration_div_syllable,saccade_times_of_sentence_div_syllable,saccade_velocity_div_syllable,total_dwell_time_of_sentence_div_syllable
1130,1929,0,0,16,liuyiting,0,While,1,0,0,0,0,0,0,0,0,145.706,0.412,0.412,55514.09,0.36,0.36,0.0,0.0,0,0,1,276,7,2.977,276,0.0,0.0,0.223,61.644,1.563,0.665,61.644,0.0,0.0,0.034,9.517,0.241,0.103,9.517
1130,1929,0,0,16,liuyiting,0,human,1,0,0,0,0,0,0,0,0,145.706,0.412,0.412,55514.09,0.36,0.36,0.0,0.0,0,0,1,276,7,2.977,276,0.0,0.0,0.223,61.644,1.563,0.665,61.644,0.0,0.0,0.034,9.517,0.241,0.103,9.517
1130,1929,0,0,16,liuyiting,0,achievements,1,0,0,1,1,208,208,1,1,145.706,0.412,0.412,55514.09,0.36,0.36,104.0,17.333,0,0,1,276,7,2.977,276,0.0,0.0,0.223,61.644,1.563,0.665,61.644,0.0,0.0,0.034,9.517,0.241,0.103,9.517
1130,1929,0,0,16,liuyiting,0,in,1,0,0,0,0,0,-208,-1,-1,145.706,0.412,0.412,55514.09,0.36,0.36,0.0,0.0,0,0,1,276,7,2.977,276,0.0,0.0,0.223,61.644,1.563,0.665,61.644,0.0,0.0,0.034,9.517,0.241,0.103,9.517
1130,1929,0,0,16,liuyiting,0,mathematics,1,0,0,2,2,585,585,2,2,145.706,0.412,0.412,55514.09,0.36,0.36,146.25,53.182,0,0,1,276,7,2.977,276,0.0,0.0,0.223,61.644,1.563,0.665,61.644,0.0,0.0,0.034,9.517,0.241,0.103,9.517
1130,1929,0,0,16,liuyiting,0,continue,1,0,0,0,0,0,-585,-2,-2,145.706,0.412,0.412,55514.09,0.36,0.36,0.0,0.0,0,0,1,276,7,2.977,276,0.0,0.0,0.223,61.644,1.563,0.665,61.644,0.0,0.0,0.034,9.517,0.241,0.103,9.517
1130,1929,0,0,16,liuyiting,0,to,1,0,0,1,1,223,223,1,1,145.706,0.412,0.412,55514.09,0.36,0.36,223.0,111.5,0,0,1,276,7,2.977,276,0.0,0.0,0.223,61.644,1.563,0.665,61.644,0.0,0.0,0.034,9.517,0.241,0.103,9.517
1130,1929,0,0,16,liuyiting,0,reach,1,0,0,0,0,0,-223,-1,-1,145.706,0.412,0.412,55514.09,0.36,0.36,0.0,0.0,0,0,1,276,7,2.977,276,0.0,0.0,0.223,61.644,1.563,0.665,61.644,0.0,0.0,0.034,9.517,0.241,0.103,9.517
1130,1929,0,0,16,liuyiting,0,new,1,0,0,1,1,205,205,1,1,145.706,0.412,0.412,55514.09,0.36,0.36,205.0,68.333,0,0,1,276,7,2.977,276,0.0,0.0,0.223,61.644,1.563,0.665,61.644,0.0,0.0,0.034,9.517,0.241,0.103,9.517
1130,1929,0,0,16,liuyiting,0,levels,1,0,0,1,1,767,562,0,0,145.706,0.412,0.412,55514.09,0.36,0.36,383.5,127.833,0,0,1,276,7,2.977,276,0.0,0.0,0.223,61.644,1.563,0.665,61.644,0.0,0.0,0.034,9.517,0.241,0.103,9.517
1130,1929,0,0,16,liuyiting,0,of,1,0,0,0,0,0,-767,-1,-1,145.706,0.412,0.412,55514.09,0.36,0.36,0.0,0.0,0,0,1,276,7,2.977,276,0.0,0.0,0.223,61.644,1.563,0.665,61.644,0.0,0.0,0.034,9.517,0.241,0.103,9.517
1130,1929,0,0,16,liuyiting,0,complexity,1,0,0,0,0,0,0,0,0,145.706,0.412,0.412,55514.09,0.36,0.36,0.0,0.0,0,0,1,276,7,2.977,276,0.0,0.0,0.223,61.644,1.563,0.665,61.644,0.0,0.0,0.034,9.517,0.241,0.103,9.517
