exp_id,page_id,fix_seq_id,row_id
902,1588,0,1
902,1588,1,1
902,1588,2,1
902,1588,3,4
902,1588,4,5
902,1588,5,6
902,1588,6,7
902,1588,7,7
902,1588,8,7
902,1588,9,10
902,1588,10,12
902,1588,11,12
902,1588,12,12
902,1588,13,14
902,1588,14,14
902,1588,15,15
902,1588,16,15
902,1589,17,16
902,1589,18,18
902,1589,19,18
902,1589,20,18
