exp_id,page_id,fix_seq_id,row_idx,article_id,time,user,sentence_id,word,need_prediction,word_understand,sentence_understand,mind_wandering,reading_times,number_of_fixations,fixation_duration
1934,2863,0,0,5,0,1,0,,0,1,0,0,0,0,0
1934,2863,0,0,5,0,1,0,,0,1,0,0,0,1,213
1934,2863,0,0,5,0,1,0,,0,1,0,0,0,1,291
1934,2863,0,0,5,0,1,0,,0,1,0,0,0,0,0
1934,2863,0,0,5,0,1,0,,0,1,0,0,0,0,0
1934,2863,0,0,5,0,1,0,,0,1,0,0,0,0,0
1934,2863,0,0,5,0,1,0,,0,1,0,0,0,1,234
1934,2863,0,0,5,0,1,0,,0,1,0,0,0,1,204
1934,2863,0,0,5,0,1,0,,0,1,0,0,0,0,0
1934,2863,0,0,5,0,1,0,,0,1,0,0,0,3,639
1934,2863,0,0,5,0,1,0,,0,1,0,0,0,0,0
1934,2863,0,0,5,0,1,0,,0,1,0,0,0,0,0
1934,2863,0,0,5,0,1,0,,0,1,0,0,0,1,257
1934,2863,0,0,5,0,1,0,,0,1,0,0,0,1,1387
1934,2863,0,0,5,0,1,0,,0,1,0,0,0,2,517
1934,2863,0,0,5,0,1,0,,0,1,0,0,0,1,316
1934,2863,0,0,5,0,1,0,,0,1,0,0,0,1,202
1934,2863,0,0,5,0,1,0,,0,1,0,0,0,0,0
1934,2863,0,0,5,0,1,0,,0,1,0,0,0,1,349
1934,2863,0,1,5,0,1,0,,0,1,0,0,0,0,0
1934,2863,0,1,5,0,1,0,,0,1,0,0,0,1,213
1934,2863,0,1,5,0,1,0,,0,0,0,0,0,1,291
1934,2863,0,1,5,0,1,0,,0,0,0,0,0,0,0
1934,2863,0,1,5,0,1,0,,0,1,0,0,0,0,0
1934,2863,0,1,5,0,1,0,,0,1,0,0,0,0,0
1934,2863,0,1,5,0,1,0,,0,1,0,0,0,1,234
1934,2863,0,1,5,0,1,0,,0,1,0,0,0,1,204
1934,2863,0,1,5,0,1,0,,0,1,0,0,0,0,0
1934,2863,0,1,5,0,1,0,,0,1,0,0,0,2,409
1934,2863,0,1,5,0,1,0,,0,1,0,0,0,1,230
1934,2863,0,1,5,0,1,0,,0,1,0,0,0,0,0
1934,2863,0,1,5,0,1,0,,0,1,0,0,0,1,257
1934,2863,0,1,5,0,1,0,,0,1,0,0,0,1,1387
1934,2863,0,1,5,0,1,0,,0,1,0,0,0,1,306
1934,2863,0,1,5,0,1,0,,0,1,0,0,0,2,527
1934,2863,0,1,5,0,1,0,,0,1,0,0,0,0,0
1934,2863,0,1,5,0,1,0,,0,1,0,0,0,1,202
1934,2863,0,1,5,0,1,0,,0,1,0,0,0,0,0
1934,2863,0,1,5,0,1,0,,0,1,0,0,0,1,349
1934,2863,1,1,5,0,1,0,,0,1,0,0,0,0,0
1934,2863,1,1,5,0,1,0,,0,1,0,0,0,1,719
1934,2863,1,1,5,0,1,0,,0,0,0,0,0,2,501
1934,2863,1,1,5,0,1,0,,0,0,0,0,0,0,0
1934,2863,1,1,5,0,1,0,,0,1,0,0,0,2,671
1934,2863,1,1,5,0,1,0,,0,1,0,0,0,1,244
1934,2863,1,1,5,0,1,0,,0,1,0,0,0,0,0
1934,2863,1,1,5,0,1,0,,0,1,0,0,0,2,848
1934,2863,1,1,5,0,1,0,,0,1,0,0,0,1,255
1934,2863,1,1,5,0,1,0,,0,1,0,0,0,2,1154
1934,2863,1,1,5,0,1,0,,0,1,0,0,0,0,0
1934,2863,1,1,5,0,1,0,,0,1,0,0,0,1,208
1934,2863,1,1,5,0,1,0,,0,1,0,0,0,1,292
1934,2863,1,1,5,0,1,0,,0,1,0,0,0,2,512
1934,2863,1,1,5,0,1,0,,0,1,0,0,0,0,0
1934,2863,1,1,5,0,1,0,,0,1,0,0,0,2,564
1934,2863,1,1,5,0,1,0,,0,1,0,0,0,1,323
1934,2863,1,1,5,0,1,0,,0,1,0,0,0,0,0
1934,2863,1,1,5,0,1,0,,0,1,0,0,0,0,0
1934,2863,1,1,5,0,1,0,,0,1,0,0,0,0,0
1934,2863,1,2,5,0,1,0,,0,1,0,0,0,0,0
1934,2863,1,2,5,0,1,0,,0,1,0,0,0,1,719
1934,2863,1,2,5,0,1,0,,0,1,0,0,0,1,265
1934,2863,1,2,5,0,1,0,,0,1,0,0,0,1,236
1934,2863,1,2,5,0,1,0,,0,1,0,0,0,0,0
1934,2863,1,2,5,0,1,0,,0,1,0,0,0,3,915
1934,2863,1,2,5,0,1,0,,0,1,0,0,0,0,0
1934,2863,1,2,5,0,1,0,,0,1,0,0,0,2,848
1934,2863,1,2,5,0,1,0,,0,1,0,0,0,1,255
1934,2863,1,2,5,0,1,0,,0,1,0,0,0,2,1154
1934,2863,1,2,5,0,1,0,,0,1,0,0,0,1,208
1934,2863,1,2,5,0,1,0,,0,1,0,0,0,1,292
1934,2863,1,2,5,0,1,0,,0,1,0,0,0,1,257
