article_id,row_idx,row_text
19,7,"['including', '8', 'officers', 'A', 'local', 'chief', 'was', 'also', 'among', 'the', 'victims', 'of', 'the', 'violence', 'on', 'Saturday', 'in', 'Turkana', 'County']"
19,8,"['Here’s', 'Will', 'Ross', 'A', 'statement', 'from', 'the', 'Kenyan', 'police', 'force', 'described', 'this', 'as', 'a', 'criminal', 'and', 'cowardly', 'ambush']"
19,9,"['Officers', 'have', 'been', 'deployed', 'to', 'a', 'remote', 'part', 'of', 'Turkana', 'County', 'to', 'recover', 'stolen', 'cattle', 'when', 'they', 'were']"
19,10,"['attacked', 'The', 'authorities', 'have', 'blamed', 'what', 'they', 'called', 'bandits', 'from', 'the', 'Pokot', 'ethnic', 'group', 'Cattle', 'rustling', 'and']"
19,11,"['clashes', 'over', 'access', 'to', 'pasture', 'are', 'common', 'in', 'the', ""country's"", 'arid', 'areas', 'The', 'ongoing', 'drought', 'in', 'Kenya', 'the']"
19,12,"['worst', 'in', 'four', 'decades', 'has', 'fueled', 'tension', 'as', 'well', 'over', 'a', 'million', 'highly', 'prized', 'livestock', 'have', 'died', ""Kenya's"", 'new']"
19,13,"['president', 'William', 'Ruto', 'has', 'pledged', 'to', 'end', 'the', 'insecurity', 'The', 'South', 'Korean', 'government', 'says', 'it', 'will', 'buy', 'nearly']"
19,14,"['half', 'a', 'million', 'tonnes', 'of', 'rice', 'this', 'year', 'from', 'the', ""country's"", 'farmers', 'to', 'stabilize', 'falling', 'prices', 'South', 'Korea', 'has']"
19,15,"['grown', 'too', 'much', 'rice', 'for', 'a', 'number', 'of', 'years', 'because', 'consumption', 'habits', 'have', 'changed']"
19,16,"['Officials', 'have', 'tried', 'to', 'persuade', 'farmers', 'to', 'grow', 'other', 'crops', 'such', 'as', 'wheat', 'and', 'soybeans', 'but', 'with', 'limited']"
19,17,['success']
16,0,"['While', 'human', 'achievements', 'in', 'mathematics', 'continue', 'to', 'reach', 'new', 'levels', 'of', 'complexity', 'many', 'of', 'us', 'who', ""aren't""]"
16,1,"['mathematicians', 'at', 'heart', '(or', 'engineers', 'by', 'trade)', 'may', 'struggle', 'to', 'remember', 'the', 'last', 'time', 'we', 'used', 'calculus']"
16,2,"[""It's"", 'a', 'fact', 'not', 'lost', 'on', 'American', 'educators', 'who', 'amid', 'rising', 'math', 'failure', 'rates', 'are', 'debating', 'how', 'math', 'can', 'better']"
16,3,"['meet', 'the', 'real-life', 'needs', 'of', 'students', 'Should', 'we', 'change', 'the', 'way', 'math', 'is', 'taught', 'in', 'schools', 'or', 'eliminate', 'some']"
16,4,"['courses', 'entirely']"
16,5,"['Andrew', 'Hacker', 'Queens', 'College', 'political', 'science', 'professor', 'thinks', 'that', 'advanced', 'algebra', 'and', 'other', 'higher-level']"
16,6,"['math', 'should', 'be', 'cut', 'from', 'curricula', 'in', 'favor', 'of', 'courses', 'with', 'more', 'routine', 'usefulness', 'like', 'statistics']"
16,7,"['We', 'hear', 'on', 'all', 'sides', 'that', ""we're"", 'not', 'teaching', 'enough', 'mathematics', 'and', 'the', 'Chinese', 'are', 'running', 'rings', 'around']"
16,8,"['us', 'Hacker', 'says', ""I'm"", 'suggesting', ""we're"", 'teaching', 'too', 'much', 'mathematics', 'to', 'too', 'many', 'people', 'Not', 'everybody', 'has']"
16,9,"['to', 'know', 'calculus', 'If', ""you're"", 'going', 'to', 'become', 'an', 'aeronautical', 'engineer', 'fine', 'But', 'most', 'of', 'us', ""aren't""]"
16,10,"['Instead', 'Hacker', 'is', 'pushing', 'for', 'more', 'courses', 'like', 'the', 'one', 'he', 'teaches', 'at', 'Queens', 'College:', 'Numeracy', '101', 'There']"
16,11,"['his', 'students', 'of', 'citizen', 'statistics', 'learn', 'to', 'analyze', 'public', 'information', 'like', 'the', 'federal', 'budget', 'and', 'corporate']"
16,12,"['reports', 'Such', 'courses', 'Hacker', 'argues', 'are', 'a', 'remedy', 'for', 'the', 'numerical', 'illiteracy', 'of', 'adults', 'who', 'have', 'completed']"
16,13,"['high-level', 'math', 'like', 'algebra', 'but', 'are', 'unable', 'to', 'calculate', 'the', 'price', 'of', 'say', 'a', 'carpet', 'by', 'area']"
50,0,"['What', 'we', 'have', 'just', 'seen', 'to', 'hold', 'in', 'the', 'case', 'of', 'my', '(former)', 'account', 'also', 'holds', 'for', 'Lewis’s', 'account', 'His', 'account']"
50,1,"['too', 'says', 'that', 'to', 'have', 'psychological', 'states', 'is', 'just', 'to', 'be', 'a', '“model”', 'of', 'a', 'certain', 'theory', 'He', 'too', 'needs', 'to', 'restrict']"
50,2,"['the', 'notion', 'of', 'a', '“realizer”', 'so', 'that', 'highly', 'disjunctive', 'physical', 'states', '(like', 'the', 'ones', 'used', 'in', 'the', 'proof', 'in', 'the']"
50,3,"['Appendix)', 'do', 'not', 'count', 'as', 'realizers', 'even', 'if', 'they', 'satisfy', 'the', 'postulates', 'of', 'folk', 'psychology', 'Lewis', 'does', 'this', 'by']"
50,4,"['requiring', 'the', 'realizers', 'to', 'have', 'the', 'metaphysical', 'property', 'he', 'calls', 'naturalness', 'or', 'elite', 'But', 'this', 'means', 'that', 'his']"
50,5,"['theory', 'requires', 'that', 'each', 'organism', 'to', 'which', 'folk', 'psychology', 'applies', 'be', 'a', 'model', 'for', 'folk', 'psychology', 'in', 'just', 'the']"
50,6,"['sense', 'that', 'my', 'account', 'in', '“Philosophy', 'and', 'Our', 'Mental', 'Life”', 'required', 'that', 'is', 'that', 'such', 'an', 'organism', 'possess', 'one']"
50,7,"['physical', 'state', 'per', 'propositional', 'attitude', 'But', 'we', 'have', 'seen', 'that', 'we', 'are', 'not', 'models', 'of', 'propositional-attitude']"
50,8,"['theory', 'in', 'that', '(highly', 'reductionist)', 'sense']"
50,9,"['I', 'can', 'exploit', 'my', 'arguments', 'to', 'make', 'a', 'further', 'point:', 'folk', 'psychology', 'cannot', 'play', 'the', 'explanatory', 'role', 'Lewis']"
50,10,"['wishes', 'it', 'to', 'play', 'the', 'role', 'of', 'defining', 'the', 'propositional', 'attitudes', 'If', 'it', 'could', 'play', 'this', 'role', 'the', '“platitudes', 'which']"
50,11,"['are', 'common', 'knowledge', 'among', 'us”', 'would', 'already', 'constitute', 'a', 'survey', 'of', 'all', 'possible', 'ways', 'of', 'having', 'any', 'belief']"
50,12,"['that', 'we', 'can', 'describe', 'And', 'Lewis', 'has', 'not', 'given', 'us', 'any', 'reason', 'to', 'believe', 'that', 'they', 'do', 'this']"
50,13,"['Consider', 'the', 'belief', 'that', '(apart', 'from', 'dirt)', 'snow', 'is', 'normally', 'white', 'Suppose', 'someone', 'who', 'lives', 'in', 'a', 'future']"
50,14,"['super-scientific', 'culture', '(and', 'who', 'speaks', 'a', 'language', 'unrelated', 'to', 'any', 'present-day', 'language)', 'has', 'a', 'belief', 'that']"
50,15,"['should', 'be', 'so', 'interpreted']"
50,16,"['A', 'problem', 'in', 'the', 'radical', 'interpretation', 'of', 'a', 'language', 'spoken', 'by', 'beings', 'more', 'sophisticated', 'than', 'we', 'How', 'would']"
50,17,"['this', 'be', 'determined', 'using', 'beliefs', 'of', 'our', 'culture', 'such', 'that', '“everyone', 'knows', 'them', 'everyone', 'knows', 'that', 'everyone']"
50,18,"['knows', 'them', 'and', 'so', 'on”']"
50,19,"['These', 'future', 'speakers', 'might', 'believe', 'that', 'snow', 'is', 'white', 'on', 'the', 'basis', 'of', 'a', 'quantum', 'mechanical', 'calculation']"
50,20,"['Perhaps', 'it', 'snows', 'so', 'rarely', 'that', 'that', 'is', 'now', 'the', '“normal”', 'way', 'of', 'fixing', 'the', 'belief', 'that', 'snow', 'is', 'white', 'So', 'our']"
50,21,"['platitudes', 'about', 'what', '“sensory', 'stimulations”', 'cause', 'one', 'to', 'go', 'into', 'the', 'mental', 'state', 'of', 'believing', 'that', 'snow', 'is']"
50,22,"['white', '“with', 'so-and-so', 'probability”', 'will', 'not', 'apply', 'to', 'these', 'speakers', 'Imagine', 'that', 'they', 'not', 'only', 'come', 'to', 'the']"
50,23,"['belief', 'in', 'a', 'different', 'way', 'than', 'we', 'but', 'that', 'the', 'sensory', 'stimulations', 'that', 'suffice', 'for', 'us', 'do', 'not', 'suffice', 'for', 'most']"
50,24,"['of', 'them', 'at', 'least', 'without', 'lengthy', 'calculation', 'they', 'do', 'not', 'go', 'immediately', 'from', 'the', 'sensory', 'stimulations', 'to', 'the']"
50,25,"['“mental', 'state”']"
45,0,"['Many', 'years', 'ago', 'I', 'published', 'a', 'series', 'of', 'papers', 'in', 'which', 'I', 'proposed', 'a', 'model', 'of', 'the', 'mind', 'which', 'became', 'widely', 'known', 'under', 'the']"
45,1,"['name', '“functionalism”', 'According', 'to', 'this', 'model', 'psychological', 'states', '(“believing', 'that', 'p”', '“desiring', 'that', 'p”', '“considering', 'whether', 'p”', 'and']"
45,2,"['so', 'on)', 'are', 'simply', '“computational', 'states”', 'of', 'the', 'brain', 'The', 'proper', 'way', 'to', 'think', 'of', 'the', 'brain', 'is', 'as', 'a', 'digital', 'computer', 'Our']"
45,3,"['psychology', 'is', 'to', 'be', 'described', 'as', 'the', 'software', 'of', 'this', 'computer', 'its', '“functional', 'Organization”']"
45,4,"['According', 'to', 'the', 'version', 'of', 'functionalism', 'that', 'I', 'originally', 'proposed', 'mental', 'states', 'can', 'be', 'defined', 'in', 'terms', 'of', 'Turing', 'machine', 'states']"
45,5,"['and', 'loadings', 'of', 'the', 'memory', '(the', 'paper', 'tape', 'of', 'the', 'Turing', 'machine)']"
45,6,"['The', 'upshot', 'of', 'our', 'discussion', 'for', 'the', 'philosophy', 'of', 'mind', 'is', 'that', 'propositional', 'attitudes', 'as', 'philosophers', 'call', 'them', 'that', 'is', 'such']"
45,7,"['things', 'as', 'believing', 'that', 'snow', 'is', 'white', 'and', 'feeling', 'certain', 'that', 'the', 'cat', 'is', 'on', 'the', 'mat', 'are', 'not', '“states”', 'of', 'the', 'human', 'brain', 'and']"
45,8,"['nervous', 'system', 'considered', 'in', 'isolation', 'from', 'the', 'social', 'and', 'nonhuman', 'environment', 'A', 'fortiori', 'they', 'are', 'not', '“functional', 'states”', 'that']"
45,9,"['is', 'states', 'definable', 'in', 'terms', 'of', 'parameters', 'which', 'would', 'enter', 'into', 'a', 'software', 'description', 'of', 'the', 'organism', 'Functionalism', 'construed']"
45,10,"['as', 'the', 'thesis', 'that', 'propositional', 'attitudes', 'are', 'just', 'computational', 'states', 'of', 'the', 'brain', 'cannot', 'be', 'correct']"
45,11,"['One', 'way', 'of', 'trying', 'to', 'meet', 'this', 'objection', 'was', 'discussed', 'in', 'an', 'earlier', 'chapter', 'This', 'is', 'to', 'say', '“Yes', 'but', 'a', 'component', 'of', 'meaning']"
45,12,"['call', 'it', '‘content’', 'and', 'a', 'similar', 'component', 'of', 'the', 'propositional', 'attitudes', 'is', '‘in', 'the', 'head’', 'and', 'this', 'component', 'could', 'be', 'a']"
45,13,"['computational', 'state', 'of', 'the', 'brain', 'in', 'the', 'case', 'of', 'each', '‘meaning’', 'and', 'each', '‘propositional', 'attitude’”', 'Certainly', 'one', 'must', 'be', 'in', 'an']"
45,14,"['appropriate', 'physical', 'state', 'an', 'appropriate', 'computational', 'state', 'and', 'so', 'on', 'to', 'believe', 'that', 'there', 'is', 'a', 'cat', 'on', 'the', 'mat', 'but', 'not', 'in', 'the']"
45,15,"['sense', 'that', 'there', 'is', 'one', 'physical', 'state', 'or', 'one', 'computational', 'state', 'that', 'one', 'must', 'be', 'in', 'to', 'believe', 'that', 'there', 'is', 'a', 'cat', 'on', 'the', 'mat']"
45,16,"['It', 'was', 'an', 'insight', 'of', 'functionalism', 'to', 'point', 'out', 'that', 'the', 'different', 'physical', 'states', 'one', 'might', 'be', 'in', 'while', 'believing', 'that', 'a', 'cat', 'is', 'on']"
45,17,"['the', 'mat', 'need', 'not', 'have', 'anything', '“in', 'common”', 'that', 'can', 'be', 'specified', 'in', 'physical', 'or', 'chemical', 'terms', 'Just', 'as', 'this', 'was', 'an', 'insight', 'so']"
45,18,"['the', 'upshot', 'of', 'our', 'discussion', 'here', 'was', 'that', 'the', 'different', 'computational', 'states', 'one', 'might', 'be', 'in', 'while', 'believing', 'that', 'a', 'cat', 'is', 'on', 'the']"
45,19,"['mat', 'need', 'not', 'have', 'anything', '“in', 'common”', 'that', 'can', 'be', 'specified', 'in', 'computational', 'terms']"
47,0,"['The', 'end', 'of', 'an', 'investigation', 'like', 'the', 'one', 'just', 'completed', 'is', 'an', 'appropriate', 'time', 'to', 'reexamine', 'the', 'reasons', 'for']"
47,1,"['undertaking', 'the', 'investigation', 'in', 'the', 'first', 'place;', 'for', 'no', 'philosophical', 'investigation', 'looks', 'quite', 'the', 'same', 'at', 'the']"
47,2,"['end', 'as', 'it', 'did', 'when', 'one', 'started', 'My', 'reasons', 'for', 'undertaking', 'this', 'project', 'were', 'many', 'Some', 'readers', 'of', 'the']"
47,3,"['preceding', 'pages', 'have', 'expressed', 'surprise', 'at', 'what', 'they', 'called', 'my', '“realist', 'tone”;', 'as', 'though', 'by', 'reacting', 'to']"
47,4,"['“mentalist”', 'and', '“functionalist”', 'proposals', 'in', 'the', 'way', 'that', 'I', 'have', 'I', 'was', 'renouncing', 'my', 'supposed', '“antirealism”']"
47,5,"['Others', 'have', 'asked', 'me', 'to', 'explain', 'where', 'the', 'present', 'inquiry', '“fits', 'in”', 'to', 'my', 'ongoing', 'project', 'of', 'developing', 'a']"
47,6,"['third', 'way', '(“internal', 'realism”)', 'between', 'classical', 'realism', 'and', 'antirealism', 'In', 'this', 'closing', 'chapter', 'I', 'want', 'to', 'respond']"
47,7,"['to', 'these', 'requests', 'and', 'reactions', 'Let', 'me', 'begin', 'by', 'admitting', 'that', 'I', 'have', 'long', 'felt', 'an', 'approach', 'or', 'avoidance']"
47,8,"['conflict', 'where', '“metaphysical', 'realism”', 'is', 'concerned', 'In', 'various', 'places', 'I', 'have', 'described', 'metaphysical', 'realism', 'as', 'a']"
47,9,"['bundle', 'of', 'intimately', 'associated', 'philosophical', 'ideas', 'about', 'truth:', 'the', 'ideas', 'that', 'truth', 'is', 'a', 'matter', 'of']"
47,10,"['Correspondence', 'and', 'that', 'it', 'exhibits', 'Independence', '(of', 'what', 'humans', 'do', 'or', 'could', 'find', 'out)', 'Bivalence', 'and']"
47,11,"['Uniqueness', '(there', 'cannot', 'be', 'more', 'than', 'one', 'complete', 'and', 'true', 'description', 'of', 'Reality);', 'but', 'I', 'do', 'not', 'think', 'that']"
47,12,"['this', 'characterization', 'caught', 'the', 'appeal', 'of', 'metaphysical', 'realism', 'to', 'me', 'which', 'was', 'of', 'course', 'a', 'grave', 'defect']"
47,13,"['What', 'I', 'used', 'to', 'find', 'seductive', 'about', 'metaphysical', 'realism', 'is', 'the', 'idea', 'that', 'the', 'way', 'to', 'solve', 'philosophical']"
47,14,"['problems', 'is', 'to', 'construct', 'a', 'much', 'more', 'better', 'scientific', 'picture', 'of', 'the', 'world']"
47,15,"['That', 'idea', 'retains', 'the', 'ancient', 'principle', 'that', 'Being', 'is', 'prior', 'to', 'Knowledge', 'while', 'giving', 'it', 'a', 'distinctively', 'modem']"
47,16,"['twist:', 'all', 'philosophers', 'must', 'be', 'a', 'good', '“futurist”', 'anticipate', 'for', 'us', 'how', 'science', 'will', 'solve', 'our', 'philosophical']"
47,17,"['problems', 'From', 'this', 'idea', 'I', 'was', 'led', 'naturally', 'to', 'the', 'thought', 'that', 'science', 'should', 'be', 'understood', '“without']"
47,18,"['philosophical', 'reinterpretation”', 'In', 'such', 'an', 'outlook', 'Independence', 'Uniqueness', 'Bivalence', 'and', 'Correspondence', 'are']"
47,19,"['regulative', 'ideas', 'that', 'the', 'final', 'scientific', 'image', 'is', 'expected', 'to', 'live', 'up', 'to', 'as', 'well', 'as', 'metaphysical', 'assumptions']"
47,20,"['that', 'guarantee', 'that', 'such', 'a', 'final', 'scientific', 'resolution', 'of', 'all', 'philosophical', 'problems', 'must', 'be', 'possible']"
47,21,"['To', 'fully', 'understand', 'the', 'appeal', 'of', 'scientific', 'realism', 'one', 'does', 'not', 'necessarily', 'have', 'to', 'know', 'anything', 'about']"
47,22,"['science', 'Bernard', 'Williams’s', 'Ethics', 'and', 'the', 'Limits', 'of', 'Philosophy', 'for', 'example', 'exhibits', 'an', 'enthusiasm', 'for', 'scientific']"
47,23,"['realism', '(“the', 'absolute', 'conception', 'of', 'the', 'world”)', 'coupled', 'with', 'complete', 'innocence', 'of', 'actual', 'scientific', 'knowledge']"
47,24,"['But', 'for', 'someone', 'like', 'me', 'who', 'has', 'mastered', 'a', 'certain', 'amount', 'of', 'mathematics', 'and', 'physics', 'the', 'situation', 'is', 'quite']"
47,25,"['different', 'I', 'know', 'what', 'a', 'real', 'scientific', 'theory', 'looks', 'like;', 'and', 'the', 'attractiveness', 'of', 'scientific', 'realism', 'is']"
47,26,"['counterbalanced', 'by', 'an', 'unwillingness', 'to', 'accept', 'vague', 'talk', 'about', 'what', 'science', 'can', 'achieve', 'as', 'a', 'substitute', 'for', 'at']"
47,27,"['least', 'a', 'plausible', 'sketch', 'of', 'a', 'genuine', 'scientific', 'theory', 'with', 'real', 'explanatory', 'power', 'Hence', 'what', 'I', 'described', 'as']"
47,28,"['my', '“approach', 'or', 'avoidance”', 'conflict']"
39,0,"['Senior', 'Iranian', 'figures', 'have', 'expressed', 'concern', 'over', 'the', 'death', 'in', 'custody', 'last', 'week', 'of', 'a', 'young', 'woman', 'arrested']"
39,1,"['for', 'allegedly', 'violating', 'the', 'official', 'female', 'dress', 'code', 'The', 'speaker', 'of', 'parliament', 'said', 'the', 'Domestic', 'Affairs']"
39,2,"['Committee', 'should', 'probe', 'the', 'methods', 'used', 'by', 'the', 'morality', 'police', 'in', 'order', 'to', 'prevent', 'any', 'repetition', 'of', 'Mahsa']"
39,3,"['Amini’s', 'death', 'A', 'court', 'in', 'the', 'English', 'city', 'of', 'Leicester', 'has', 'jailed', 'a', 'man', 'for', 'ten', 'months', 'for', 'his', 'part', 'in', 'recent']"
39,4,"['clashes', 'between', 'groups', 'of', 'Hindus', 'and', 'Muslims']"
39,5,"['47', 'have', 'been', 'arrested', 'in', 'relation', 'to', 'the', 'unrest', 'which', 'reportedly', 'started', 'after', 'an', 'India-Pakistan', 'cricket', 'match']"
39,6,"['25', 'police', 'officers', 'have', 'been', 'injured', 'in', 'the', 'disorder', 'Leicestershire’s', 'acting', 'police', 'chief', 'Rob', 'Nixon', 'said', 'social']"
39,7,"['media', 'was', 'being', 'used', 'to', 'stoke', 'division', 'What', 'we', 'know', 'people', 'are', 'doing', 'is', 'that', ""they're"", 'receiving', 'fake', 'news', 'via']"
39,8,"['social', 'media', 'and', 'then', ""they're"", 'falling', 'on']"
39,9,"['There', 'are', 'significant', 'things', 'on', 'there', 'which', 'are', 'false', 'You', 'know', 'people', 'saying', 'that', 'people', 'have', 'been', 'assaulted']"
39,10,"['Attacks', 'on', 'religious', 'establishments', 'are', 'being', 'put', 'out', 'there', 'in', 'order', 'to', 'raise', 'fear', 'and', 'to', 'galvanize', 'people', 'to']"
39,11,"['come', 'to', 'Leicester', 'The', 'full', 'force', 'of', 'hurricane', 'Fiona', 'has', 'been', 'battering', 'Grand', 'Turk', 'the', 'main', 'island', 'at', 'the']"
39,12,"['British', 'Caribbean', 'territory', 'of', 'Turks', 'and', 'Caicos', 'Uploaded', 'video', 'shows', 'deluges', 'of', 'near', 'horizontal', 'rain', 'blown', 'by']"
39,13,"['winds', 'gusting', 'up', 'to', '185', 'kilometres', 'an', 'hour', 'A', 'curfew', 'is', 'in', 'place', 'on', 'the', 'islands']"
39,14,"['The', 'far-right', 'Italian', 'party', 'Brothers', 'of', 'Italy', 'has', 'suspended', 'one', 'of', 'its', 'candidates', 'for', 'praising', 'Adolf', 'Hitler', 'on']"
39,15,"['social', 'media', 'days', 'before', 'a', 'general', 'election', 'in', 'which', 'he’s', 'predicted', 'to', 'come', 'top']"
39,16,"['In', 'a', 'Facebook', 'post', 'in', '2014', 'Calogero', 'Pisano', 'who', 'had', 'a', 'leadership', 'role', 'compared', 'the', 'party', 'leader', 'Giorgia']"
39,17,"['Meloni', 'to', 'a', 'great', 'statesman', 'of', '70', 'years', 'ago', 'adding', 'that', 'he', 'was', 'referring', 'to', 'a', 'German', 'and', 'not', 'the', 'Italian']"
39,18,"['dictator', 'Benito', 'Mussolini']"
48,0,"['I', 'mentioned', 'earlier', 'that', 'there', 'is', 'an', 'alternative', 'account', 'of', 'narrow', 'content', 'due', 'to', 'Ned', 'Block', 'Block’s', 'theory', 'resembles']"
48,1,"['Fodor’s', 'in', 'accepting', 'the', 'distinction', 'between', '“narrow', 'content”', 'and', '“broad', 'content”', 'Also', 'as', 'in', 'Fodor’s', 'theory', '“narrow']"
48,2,"['content”', 'is', 'supposed', 'to', 'be', 'a', 'mentalistic', 'notion', 'narrow', 'contents', 'depend', 'only', 'on', 'what', 'is', 'inside', 'the', 'speaker’s', 'head', 'and']"
48,3,"['can', 'be', 'described', 'without', 'taking', 'into', 'account', 'the', 'extension', 'of', 'a', 'term', 'or', 'sentence', 'So', 'that', '“water”', 'has', 'the', 'same', 'narrow']"
48,4,"['content', 'on', 'Earth', 'and', 'on', 'Twin', 'Earth', 'but', 'not', 'the', 'same', 'broad', 'content', 'as', 'in', 'Fodor’s', 'theory']"
48,5,"['Here', 'the', 'resemblance', 'to', 'Fodor’s', 'theory', 'ends;', 'although', 'Block', 'agrees', 'with', 'the', 'dominant', 'computational', 'approach', 'in', 'thinking']"
48,6,"['of', 'the', 'mind', 'or', 'brain', 'as', 'computing', 'with', '“representations”', 'in', 'a', '“language', 'of', 'thought”', 'he', 'does', 'not', 'take', 'a', 'stand', 'on']"
48,7,"['whether', 'this', 'is', 'an', 'innate', 'language', '(Fodor’s', 'Mentalese)', 'or', 'simply', 'the', 'local', 'natural', 'language', '(suitably', 'transcribed', 'into']"
48,8,"['neuronal', 'terms)', 'nor', 'does', 'he', 'regard', 'narrow', 'content', 'as', 'a', 'sense', 'of', '“meaning”', 'He', 'does', 'however', 'sometimes', 'use', 'the']"
48,9,"['expressions', '“broad', 'meaning”', 'and', '“narrow', 'meaning”', 'and', 'also', 'speaks', 'of', '“two', 'ways', 'of', 'individuating', 'thought', 'contents”', 'just']"
48,10,"['as', 'Fodor', 'does', 'Rather', 'than', 'regarding', 'the', 'notion', 'of', '“meaning”', 'as', 'ambiguous', 'and', 'taking', '“narrow', 'content”', 'and', '“broad']"
48,11,"['content”', 'to', 'be', 'the', 'two', 'senses', '(or', 'rational', 'reconstructions', 'of', 'the', 'two', 'senses)', 'Block', 'regards', 'meaning', 'as', 'in', 'effect', 'the']"
48,12,"['ordered', 'pair', 'of', 'narrow', 'content', 'and', 'broad', 'content', 'For', 'Block', 'narrow', 'content', 'is', 'one', 'of', 'the', 'two', 'factors', 'determining']"
48,13,"['meaning', 'rather', 'than', 'a', 'kind', 'of', 'meaning', '(or', 'at', 'least', 'this', 'is', 'his', 'fallback', 'position)']"
48,14,"['Moreover', 'narrow', 'content', 'is', 'not', 'identified', 'with', 'a', 'function', 'of', 'observable', 'properties', 'as', 'it', 'was', 'in', 'Fodor’s', '(former)', 'theory']"
48,15,"['Rather', 'it', 'is', 'identified', 'with', '“conceptual', 'role”', 'What', 'is', 'conceptual', 'role']"
