article_id,row_idx,row_text
39,0,"['Senior', 'Iranian', 'figures', 'have', 'expressed', 'concern', 'over', 'the', 'death', 'in', 'custody', 'last', 'week', 'of', 'a', 'young', 'woman', 'arrested']"
39,1,"['for', 'allegedly', 'violating', 'the', 'official', 'female', 'dress', 'code', 'The', 'speaker', 'of', 'parliament', 'said', 'the', 'Domestic', 'Affairs']"
39,2,"['Committee', 'should', 'probe', 'the', 'methods', 'used', 'by', 'the', 'morality', 'police', 'in', 'order', 'to', 'prevent', 'any', 'repetition', 'of', 'Mahsa']"
39,3,"['Amini’s', 'death', 'A', 'court', 'in', 'the', 'English', 'city', 'of', 'Leicester', 'has', 'jailed', 'a', 'man', 'for', 'ten', 'months', 'for', 'his', 'part', 'in', 'recent']"
39,4,"['clashes', 'between', 'groups', 'of', 'Hindus', 'and', 'Muslims']"
39,5,"['47', 'have', 'been', 'arrested', 'in', 'relation', 'to', 'the', 'unrest', 'which', 'reportedly', 'started', 'after', 'an', 'India-Pakistan', 'cricket', 'match']"
39,6,"['25', 'police', 'officers', 'have', 'been', 'injured', 'in', 'the', 'disorder', 'Leicestershire’s', 'acting', 'police', 'chief', 'Rob', 'Nixon', 'said', 'social']"
39,7,"['media', 'was', 'being', 'used', 'to', 'stoke', 'division', 'What', 'we', 'know', 'people', 'are', 'doing', 'is', 'that', ""they're"", 'receiving', 'fake', 'news', 'via']"
39,8,"['social', 'media', 'and', 'then', ""they're"", 'falling', 'on']"
39,9,"['There', 'are', 'significant', 'things', 'on', 'there', 'which', 'are', 'false', 'You', 'know', 'people', 'saying', 'that', 'people', 'have', 'been', 'assaulted']"
39,10,"['Attacks', 'on', 'religious', 'establishments', 'are', 'being', 'put', 'out', 'there', 'in', 'order', 'to', 'raise', 'fear', 'and', 'to', 'galvanize', 'people', 'to']"
39,11,"['come', 'to', 'Leicester', 'The', 'full', 'force', 'of', 'hurricane', 'Fiona', 'has', 'been', 'battering', 'Grand', 'Turk', 'the', 'main', 'island', 'at', 'the']"
39,12,"['British', 'Caribbean', 'territory', 'of', 'Turks', 'and', 'Caicos', 'Uploaded', 'video', 'shows', 'deluges', 'of', 'near', 'horizontal', 'rain', 'blown', 'by']"
39,13,"['winds', 'gusting', 'up', 'to', '185', 'kilometres', 'an', 'hour', 'A', 'curfew', 'is', 'in', 'place', 'on', 'the', 'islands', 'The', 'far-right', 'Italian', 'party']"
39,14,"['Brothers', 'of', 'Italy', 'has', 'suspended', 'one', 'of', 'its', 'candidates', 'for', 'praising', 'Adolf', 'Hitler', 'on', 'social', 'media', 'days', 'before', 'a']"
39,15,"['general', 'election', 'in', 'which', 'he’s', 'predicted', 'to', 'come', 'top']"
39,16,"['In', 'a', 'Facebook', 'post', 'in', '2014', 'Calogero', 'Pisano', 'who', 'had', 'a', 'leadership', 'role', 'compared', 'the', 'party', 'leader', 'Giorgia']"
39,17,"['Meloni', 'to', 'a', 'great', 'statesman', 'of', '70', 'years', 'ago', 'adding', 'that', 'he', 'was', 'referring', 'to', 'a', 'German', 'and', 'not', 'the', 'Italian']"
39,18,"['dictator', 'Benito', 'Mussolini']"
19,0,"['Pro-government', 'rallies', 'are', 'being', 'held', 'in', 'parts', 'of', 'Iran', 'in', 'an', 'attempt', 'by', 'the', 'authorities', 'to', 'counter', 'protests']"
19,1,"['sparked', 'by', 'the', 'death', 'of', 'a', 'woman', 'in', 'police', 'custody', 'However', 'a', 'BBC', 'correspondent', 'says', 'videos', 'and', 'state']"
19,2,"['television', 'appear', 'to', 'show', 'a', 'low', 'turnout', 'Iranian', 'state', 'television', 'says', '41', 'people', 'have', 'been', 'killed', 'since']"
19,3,"['anti-government', 'unrest', 'began', 'more', 'than', 'a', 'week', 'ago', 'At', 'least', '23', 'people', 'were', 'killed', 'when', 'an', 'overcrowded', 'boat']"
19,4,"['capsized', 'in', 'a', 'river', 'in', 'northern', 'Bangladesh', 'Rescuers', 'managed', 'to', 'pull', 'some', 'people', 'from', 'the', 'water', 'But', 'dozens']"
19,5,"['are', 'still', 'missing', 'The', 'accident', 'happened', 'on', 'Sunday', 'in', 'the', 'Karatoya', 'river', 'in', 'Panchgarh', 'district', 'Most', 'of', 'the']"
19,6,"['passengers', 'were', 'Hindu', 'pilgrims', 'Police', 'in', 'northern', 'Kenya', 'say', 'cattle', 'rustlers', 'have', 'killed', 'at', 'least', '11', 'people']"
